"abcs","avar","takeup","tr","white","dis","female","sch2"
10,20,1,1,1,0,0,5
22,37,1,1,1,0,0,12
9,-32,0,0,1,0,0,7
12,-34,0,0,0,0,0,9
18,53,1,1,0,0,1,14
16,32,0,1,1,0,1,12
11,-16,0,0,0,0,1,8
10,-25,0,0,0,0,0,12
9,-42,0,0,0,0,0,5
16,44,1,1,0,0,1,7
9,-38,0,0,1,0,0,6
9,-44,0,0,0,0,1,7
12,-18,0,0,0,0,1,8
11,-60,0,0,0,0,1,12
3,-47,0,0,0,0,1,3
13,-24,0,0,0,0,1,11
16,8,0,1,0,0,0,14
13,-8,0,0,0,0,0,3
12,-12,0,0,0,0,1,9
15,36,0,1,0,0,1,12
8,15,1,1,0,0,1,13
4,-44,0,0,0,0,1,8
16,-2,0,0,1,0,1,6
8,52,1,1,0,0,0,15
9,-40,0,0,0,0,0,11
15,2,1,1,0,0,1,11
15,25,1,1,1,0,1,9
17,22,1,1,0,0,1,9
18,60,1,1,1,0,1,5
5,-14,0,0,0,0,0,12
19,47,1,1,0,0,1,14
15,-24,0,0,1,0,1,11
18,53,1,1,0,0,0,11
18,11,1,1,0,0,0,12
10,-13,0,0,0,0,0,4
15,-16,0,0,0,0,0,14
13,44,1,1,0,0,0,12
8,-52,0,0,0,0,1,8
20,31,1,1,0,0,0,5
13,34,1,1,0,0,0,4
18,23,1,1,1,0,0,3
6,-21,0,0,1,1,0,6
17,12,1,1,0,0,1,7
17,56,0,1,1,0,0,12
17,2,1,1,0,1,0,3
9,-24,0,0,0,0,0,9
14,-14,0,0,0,0,0,12
9,-35,0,0,0,0,1,11
4,-6,0,0,0,0,0,5
13,-26,0,0,1,0,0,7
10,-5,0,0,0,0,0,6
12,19,0,1,1,0,1,10
10,-10,0,0,0,0,0,10
16,11,1,1,1,0,0,3
9,-59,0,0,0,0,0,7
10,-12,0,0,0,0,1,12
9,-57,0,0,1,0,1,7
15,-33,0,0,1,0,0,5
16,25,1,1,0,0,0,14
15,27,1,1,0,0,1,6
15,56,1,1,0,0,1,10
11,-37,0,0,0,0,0,10
15,-1,0,0,1,0,0,11
12,-16,0,0,1,0,1,8
11,35,1,1,0,0,1,12
24,46,1,1,0,0,0,7
10,-9,0,0,1,0,1,8
17,17,1,1,0,0,1,12
9,-47,0,0,0,0,1,6
7,-26,0,0,0,0,1,10
14,-53,0,0,1,0,0,13
11,-40,0,0,0,0,0,9
8,-52,0,0,1,0,0,8
8,-29,0,0,0,1,1,7
16,26,1,1,0,0,1,8
19,3,1,1,0,0,1,4
17,-26,0,0,1,0,0,19
11,-33,0,0,0,0,0,12
11,14,1,1,0,0,0,6
9,-39,0,0,0,0,1,8
18,26,1,1,0,1,1,4
19,51,1,1,1,0,1,10
19,22,1,1,0,0,1,7
13,22,1,1,0,0,0,12
18,7,1,1,0,0,0,2
14,34,1,1,0,0,0,7
17,39,1,1,1,0,0,70
11,-56,0,0,1,0,0,9
18,49,1,1,0,0,0,68
11,-7,0,0,0,0,1,6
17,60,1,1,0,0,0,58
15,19,1,1,0,0,1,65
13,6,1,1,0,0,0,61
7,-31,0,0,0,0,0,9
10,-60,0,0,0,0,0,11
15,-18,0,0,0,0,1,20
20,49,0,1,1,0,0,11
17,2,1,1,1,0,0,57
12,16,1,1,0,0,0,63
8,-58,0,0,1,0,0,10
11,-30,0,0,0,0,0,8
13,-38,0,0,0,0,0,8
9,37,1,1,0,0,1,63
14,16,1,1,1,0,0,69
4,-15,0,0,1,0,0,4
14,29,1,1,0,0,0,68
9,-52,0,0,0,0,1,6
17,34,1,1,0,0,1,65
8,-52,0,0,0,0,0,5
11,15,1,1,0,0,0,58
10,-10,0,0,1,0,0,3
15,-59,0,0,1,0,1,7
14,20,0,1,1,0,1,10
15,42,1,1,0,1,0,69
10,-7,0,0,0,0,0,7
7,-4,1,0,0,0,0,58
14,10,1,1,0,0,1,64
13,55,1,1,0,0,1,69
10,-13,0,0,1,0,0,7
13,51,1,1,1,0,1,62
18,-28,1,0,0,0,1,65
15,31,1,1,0,0,0,60
11,-8,0,0,1,0,0,8
11,-21,0,0,1,0,0,5
9,-8,0,0,1,1,0,9
13,-16,1,0,0,0,1,70
19,45,1,1,0,0,1,58
9,-36,0,0,0,0,1,9
7,-27,0,0,0,1,1,12
13,53,1,1,1,0,0,66
17,37,1,1,0,0,1,65
23,3,1,1,0,0,1,68
16,-47,0,0,0,0,0,14
10,-55,0,0,0,0,1,5
14,-23,0,0,1,0,0,8
21,6,1,1,1,0,0,65
12,35,1,1,1,0,0,68
9,20,1,1,0,0,0,67
10,-58,0,0,0,0,1,7
15,48,1,1,1,0,0,62
12,34,1,1,0,0,0,60
10,31,1,1,0,0,1,62
15,8,1,1,0,0,1,56
17,56,1,1,0,0,0,59
16,23,1,1,0,0,1,68
17,40,1,1,0,0,1,59
18,19,1,1,0,0,1,59
11,-7,0,0,0,0,1,9
15,-60,0,0,0,0,0,13
16,44,1,1,1,0,0,66
13,-54,0,0,0,0,0,11
17,6,1,1,0,1,1,63
11,-37,0,0,0,0,0,6
12,51,1,1,0,0,0,59
12,35,1,1,0,0,1,58
10,-16,0,0,0,0,0,6
15,-59,0,0,0,0,0,11
5,-31,0,0,0,0,1,4
11,-49,0,0,0,0,1,8
15,53,1,1,0,0,1,59
14,48,0,1,0,0,1,8
