"Month","Year","perc","m"
"Jan","2010-11",2.3,"Jan"
"Feb","2010-11",2.7,"Feb"
"Mar","2010-11",2.6,"Mar"
"Apr","2010-11",3.7,"Apr"
"May","2010-11",4.9,"May"
"Jun","2010-11",9.1,"Jun"
"Jul","2010-11",13.8,"Jul"
"Aug","2010-11",20.4,"Aug"
"Sep","2010-11",37,"Sep"
"Oct","2010-11",1.1,"Oct"
"Nov","2010-11",1.1,"Nov"
"Dec","2010-11",1.4,"Dec"
"Jan","2011-12",1.9,"Jan"
"Feb","2011-12",2,"Feb"
"Mar","2011-12",3.1,"Mar"
"Apr","2011-12",3.5,"Apr"
"May","2011-12",5.2,"May"
"Jun","2011-12",8.3,"Jun"
"Jul","2011-12",12.7,"Jul"
"Aug","2011-12",20,"Aug"
"Sep","2011-12",40.5,"Sep"
"Oct","2011-12",0.8,"Oct"
"Nov","2011-12",0.8,"Nov"
"Dec","2011-12",1.3,"Dec"
"Jan","2012-13",2.4,"Jan"
"Feb","2012-13",2.2,"Feb"
"Mar","2012-13",2.9,"Mar"
"Apr","2012-13",3.1,"Apr"
"May","2012-13",3.9,"May"
"Jun","2012-13",9.4,"Jun"
"Jul","2012-13",12,"Jul"
"Aug","2012-13",21.3,"Aug"
"Sep","2012-13",39.7,"Sep"
"Oct","2012-13",0.6,"Oct"
"Nov","2012-13",1.4,"Nov"
"Dec","2012-13",1,"Dec"
