GEN,rhyme,Begsnd,ABC,LS,Spelling,COW
M,10,10,6,7,4,7
F,10,10,22,19,9,15
M,9,10,23,15,5,6
F,5,10,10,3,2,3
F,2,10,4,0,0,2
M,5,6,22,8,17,6
M,8,5,25,20,12,4
M,4,3,26,16,3,0
F,3,7,18,8,3,0
F,9,10,26,17,15,15
F,10,10,24,22,17,17
M,4,1,26,14,0,5
M,10,6,26,25,13,22
F,3,9,9,2,6,0
M,10,10,25,23,8,19
M,10,10,26,26,16,14
M,10,6,26,19,10,17
M,10,6,26,16,15,10
F,10,10,26,21,10,14
M,10,10,26,25,17,20
F,5,10,23,11,5,8
M,4,5,25,11,0,0
F,10,10,26,19,20,22
M,8,10,25,15,1,16
M,1,2,18,7,2,0
M,4,7,23,3,0,0
F,2,2,1,1,0,0
M,9,7,26,19,17,19
F,5,5,23,20,5,2
M,5,6,16,10,2,9
M,6,7,26,21,0,5
F,10,10,26,23,15,22
M,4,5,19,2,0,1
M,5,10,26,23,12,16
M,10,7,26,17,13,21
F,2,3,22,13,4,10
M,4,3,4,2,1,1
M,10,10,26,15,5,17
M,9,2,25,21,9,13
F,10,10,25,15,15,18
M,7,10,2,0,0,3
M,10,9,26,23,16,22
M,6,10,14,2,0,2
M,9,10,18,15,5,13
F,2,0,24,7,0,0
M,4,3,1,0,0,0
F,9,10,25,16,5,2
M,10,10,25,16,5,13
M,10,10,17,13,5,11
F,10,10,26,25,18,20
F,6,6,5,2,0,0
F,8,10,24,24,10,14
M,6,10,25,19,12,17
M,10,9,24,22,19,16
F,2,5,24,13,5,3
F,3,6,5,3,0,0
F,2,4,6,4,0,2
M,10,10,26,20,10,15
M,9,9,20,3,2,7
F,10,10,23,17,11,12
F,3,8,6,0,0,3
M,10,10,21,6,4,16
M,10,10,26,21,20,22
F,3,8,22,11,9,9
F,5,10,11,0,0,6
F,10,10,26,19,13,22
M,4,6,26,16,4,4
M,2,4,9,6,1,7
F,4,5,8,0,0,2
F,8,9,21,16,4,5
F,10,10,19,18,12,7
M,2,3,24,13,4,5
F,9,10,24,16,9,16
F,10,10,26,24,20,18
F,10,10,18,16,6,3
F,10,9,15,10,8,2
F,6,5,18,11,0,2
M,10,10,24,16,5,8
F,1,2,12,7,0,5
M,10,10,23,18,15,11
M,10,10,22,26,15,21
F,7,10,26,17,4,11
F,10,10,26,20,13,14
M,10,9,25,23,8,17
F,10,10,26,26,20,20
M,10,10,24,20,13,22
F,10,10,26,26,16,22
M,10,10,25,14,8,11
M,10,10,26,21,8,13
F,10,10,25,23,13,22
M,7,2,23,19,5,10
M,10,10,26,22,14,18
M,10,10,26,21,15,16
M,0,10,26,0,3,7
M,10,10,26,23,16,22
F,5,10,26,15,5,4
M,8,10,25,14,5,6
M,6,10,21,13,8,9
F,10,8,23,16,11,18
F,10,10,24,17,6,10
M,7,5,23,17,10,2
F,6,4,24,13,3,10
F,5,5,10,5,1,1
M,10,10,23,22,13,15
M,8,5,26,17,5,18
F,7,9,21,13,7,13
M,9,10,25,19,12,16
M,6,5,26,23,6,20
M,10,10,24,20,13,17
F,10,10,22,15,5,8
F,3,8,17,11,1,6
M,3,10,23,17,9,5
F,9,9,25,15,8,2
F,7,10,17,8,4,1
M,3,4,3,0,0,0
M,10,10,23,14,10,14
M,10,10,26,21,16,14
M,7,6,22,17,2,8
F,8,6,19,11,4,6
F,9,8,22,19,6,8
